Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,DayOfWeek,3_day_avg,7_day_avg,volatility,price_change,RSI,MACD,OBV
2.084,2.165333,1.994667,2.006,2.006,23289000,2010,12,23,3,2.1106666666666665,2.080476142857143,0.17066599999999998,-0.1693330000000004,44.89796810854246,0.04303269702551571,-334641000.0
1.868,1.905333,1.670667,1.703333,1.703333,139528500,2010,12,27,0,1.9615553333333333,2.0419047142857143,0.23466600000000004,-0.3026669999999998,36.065536338136035,0.009277760523640488,-474169500.0
1.723333,1.783333,1.666667,1.760667,1.760667,60844500,2010,12,28,1,1.8233333333333333,1.9999999999999998,0.11666600000000016,0.057333999999999996,34.57161936140822,-0.012700491841345807,-413325000.0
1.802,1.867333,1.766667,1.848667,1.848667,49788000,2010,12,29,2,1.7708890000000002,1.9654285714285715,0.10066599999999992,0.08800000000000008,36.511646362893515,-0.022755242362730188,-363537000.0
1.846667,1.86,1.758667,1.766667,1.766667,30616500,2010,12,30,3,1.7920003333333334,1.9159048571428572,0.10133300000000012,-0.08200000000000007,34.67698250856847,-0.036914887445151257,-394153500.0
1.771333,1.816667,1.766667,1.775333,1.775333,21268500,2010,12,31,4,1.7968890000000002,1.8622857142857143,0.050000000000000044,0.008666000000000063,36.19423274660235,-0.04689663914852771,-372885000.0
1.789333,1.8,1.726667,1.774667,1.774667,19245000,2011,1,3,0,1.7722223333333336,1.8050477142857144,0.07333300000000009,-0.0006660000000000554,38.268649712626704,-0.05423579345574825,-392130000.0
1.777333,1.796667,1.734667,1.778,1.778,17811000,2011,1,4,1,1.776,1.7724762857142855,0.062000000000000055,0.0033330000000000304,43.70770461123764,-0.05910189106447383,-374319000.0
1.765333,1.793333,1.746,1.788667,1.788667,21700500,2011,1,5,2,1.7804446666666667,1.7846668571428572,0.04733300000000007,0.010666999999999982,40.01444846030892,-0.061389906101914526,-352618500.0
1.788667,1.866667,1.787333,1.858667,1.858667,30918000,2011,1,6,3,1.8084446666666667,1.7986668571428572,0.07933400000000002,0.07000000000000006,39.31437561747882,-0.05689886482239448,-321700500.0
